R(Angstrom);0;10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180
7.2000;-5.4946;-5.4538;-5.3290;-5.1182;-4.8323;-4.5020;-4.1715;-3.8909;-3.7112;-3.6770;-3.8191;-4.1487;-4.6558;-5.3083;-6.0450;-6.7733;-7.3868;-7.7941;-7.9365
7.4000;-4.6837;-4.6477;-4.5384;-4.3554;-4.1093;-3.8262;-3.5435;-3.3039;-3.1507;-3.1219;-3.2435;-3.5242;-3.9539;-4.5030;-5.1181;-5.7220;-6.2286;-6.5643;-6.6815
7.6000;-4.0131;-3.9812;-3.8846;-3.7246;-3.5113;-3.2671;-3.0239;-2.8182;-2.6868;-2.6622;-2.7663;-3.0061;-3.3718;-3.8364;-4.3536;-4.8586;-5.2809;-5.5603;-5.6578
7.8000;-3.4541;-3.4256;-3.3399;-3.1994;-3.0134;-2.8018;-2.5915;-2.4140;-2.3008;-2.2795;-2.3687;-2.5741;-2.8866;-3.2818;-3.7192;-4.1446;-4.4995;-4.7341;-4.8160
8.0000;-2.9849;-2.9594;-2.8832;-2.7593;-2.5966;-2.4123;-2.2298;-2.0759;-1.9779;-1.9593;-2.0359;-2.2125;-2.4804;-2.8179;-3.1901;-3.5507;-3.8511;-4.0494;-4.1187
8.5000;-2.1038;-2.0845;-2.0275;-1.9362;-1.8181;-1.6858;-1.5557;-1.4464;-1.3768;-1.3631;-1.4161;-1.5384;-1.7234;-1.9551;-2.2087;-2.4531;-2.6560;-2.7899;-2.8367
9.0000;-1.5110;-1.4964;-1.4535;-1.3856;-1.2988;-1.2022;-1.1077;-1.0286;-0.9783;-0.9679;-1.0050;-1.0912;-1.2215;-1.3840;-1.5612;-1.7315;-1.8726;-1.9657;-1.9982
9.5000;-1.1034;-1.0923;-1.0600;-1.0090;-0.9444;-0.8728;-0.8032;-0.7450;-0.7079;-0.6999;-0.7264;-0.7881;-0.8815;-0.9978;-1.1243;-1.2455;-1.3459;-1.4122;-1.4354
10.0000;-0.8179;-0.8095;-0.7849;-0.7464;-0.6977;-0.6440;-0.5919;-0.5485;-0.5208;-0.5146;-0.5337;-0.5787;-0.6468;-0.7314;-0.8233;-0.9113;-0.9842;-1.0323;-1.0490
12.0000;-0.2806;-0.2775;-0.2686;-0.2547;-0.2372;-0.2182;-0.1998;-0.1845;-0.1748;-0.1724;-0.1784;-0.1930;-0.2151;-0.2426;-0.2723;-0.3006;-0.3241;-0.3395;-0.3449
14.0000;-0.1131;-0.1118;-0.1081;-0.1023;-0.0951;-0.0872;-0.0797;-0.0734;-0.0694;-0.0683;-0.0706;-0.0763;-0.0849;-0.0955;-0.1070;-0.1179;-0.1269;-0.1329;-0.1350
16.0000;-0.0514;-0.0508;-0.0490;-0.0463;-0.0430;-0.0394;-0.0359;-0.0330;-0.0312;-0.0307;-0.0317;-0.0342;-0.0379;-0.0426;-0.0477;-0.0525;-0.0564;-0.0590;-0.0600
18.0000;-0.0256;-0.0253;-0.0244;-0.0230;-0.0213;-0.0195;-0.0178;-0.0163;-0.0154;-0.0151;-0.0156;-0.0168;-0.0187;-0.0209;-0.0234;-0.0257;-0.0276;-0.0289;-0.0293
20.0000;-0.0137;-0.0135;-0.0130;-0.0123;-0.0114;-0.0104;-0.0095;-0.0087;-0.0082;-0.0080;-0.0083;-0.0089;-0.0099;-0.0111;-0.0124;-0.0136;-0.0146;-0.0153;-0.0155
22.0000;-0.0078;-0.0077;-0.0074;-0.0070;-0.0065;-0.0059;-0.0054;-0.0049;-0.0046;-0.0045;-0.0047;-0.0050;-0.0056;-0.0062;-0.0070;-0.0076;-0.0082;-0.0086;-0.0087
