# R_Bohr c0_mEh c1_mEh c2_mEh c3_mEh c4_mEh c5_mEh c6_mEh c7_mEh c8_mEh c9_mEh c10_mEh c11_mEh c12_mEh c13_mEh c14_mEh c15_mEh c16_mEh c17_mEh c18_mEh
 7.80360700e+00 -5.00241261e-01 -2.11934836e-01 -9.50539974e-02 -2.15943093e-01  3.94432003e-02 -5.09291762e-02 -7.69837367e-04  2.14663677e-03 -1.13272715e-03 -2.96878390e-03  6.40659003e-03 -1.82266358e-02 -9.92648454e-03  1.93534240e-03  3.22179960e-03 -4.27416778e-03 -3.10077920e-03  1.35188581e-02  3.16384335e-03
 7.85571100e+00 -4.95944451e-01 -1.93829857e-01 -1.16052647e-01 -2.01784066e-01  2.84624984e-02 -4.92567187e-02 -2.87948757e-03  1.92068997e-03 -1.45900674e-03 -2.85697304e-03  6.02964272e-03 -1.75108474e-02 -9.55748832e-03  1.06449384e-03  2.63345449e-03 -4.02224296e-03 -3.21092609e-03  1.35402701e-02  3.24565320e-03
 7.90781600e+00 -4.90457167e-01 -1.77079310e-01 -1.33849886e-01 -1.88397160e-01  1.88637746e-02 -4.75643149e-02 -4.73869378e-03  1.74946072e-03 -1.71267782e-03 -2.71577303e-03  5.68344674e-03 -1.67788540e-02 -9.20570785e-03  2.14572147e-04  2.08988085e-03 -3.80128084e-03 -3.27217034e-03  1.35045930e-02  3.32901967e-03
 7.95992000e+00 -4.83956927e-01 -1.61597898e-01 -1.48795458e-01 -1.75755466e-01  1.04996308e-02 -4.58667253e-02 -6.37705890e-03  1.62910809e-03 -1.89860762e-03 -2.54788519e-03  5.37005445e-03 -1.60406560e-02 -8.87663298e-03 -6.08654234e-04  1.59009511e-03 -3.61413635e-03 -3.28702005e-03  1.34182407e-02  3.40728335e-03
 8.01202400e+00 -4.76601255e-01 -1.47303285e-01 -1.61205067e-01 -1.63830175e-01  3.23734588e-03 -4.41760544e-02 -7.82019200e-03  1.55608487e-03 -2.02194489e-03 -2.35563911e-03  5.09092242e-03 -1.53051693e-02 -8.57453196e-03 -1.40034151e-03  1.13281167e-03 -3.46279280e-03 -3.25829599e-03  1.32876536e-02  3.47508563e-03
 8.06412800e+00 -4.68530021e-01 -1.34117411e-01 -1.71362254e-01 -1.52591960e-01 -3.04185070e-03 -4.25022005e-02 -9.09010470e-03  1.52701974e-03 -2.08806832e-03 -2.14110295e-03  4.84695690e-03 -1.45802298e-02 -8.30254448e-03 -2.15654219e-03  7.16500425e-04 -3.34839818e-03 -3.18909750e-03  1.31191566e-02  3.52827930e-03
 8.11623200e+00 -4.59867130e-01 -1.21966129e-01 -1.79521807e-01 -1.42011013e-01 -8.44434615e-03 -4.08531164e-02 -1.02057386e-02  1.53861340e-03 -2.10254205e-03 -1.90616713e-03  4.63853771e-03 -1.38725638e-02 -8.06275969e-03 -2.87422197e-03  3.39396139e-04 -3.27130474e-03 -3.08276942e-03  1.29188422e-02  3.56383190e-03
 8.16833700e+00 -4.50721990e-01 -1.10778942e-01 -1.85912669e-01 -1.32057131e-01 -1.30654848e-02 -3.92350447e-02 -1.11834205e-02  1.58756843e-03 -2.07105262e-03 -1.65261119e-03  4.46555510e-03 -1.31877879e-02 -7.85631081e-03 -3.55124277e-03 -4.83151111e-07 -3.23113217e-03 -2.94285949e-03  1.26924748e-02  3.57971764e-03
 8.22044100e+00 -4.41191710e-01 -1.00489770e-01 -1.90740048e-01 -1.22700713e-01 -1.69903785e-02 -3.76528821e-02 -1.20371783e-02  1.67053838e-03 -1.99934413e-03 -1.38218170e-03  4.32746852e-03 -1.25304989e-02 -7.68349691e-03 -4.18625867e-03 -3.05282698e-04 -3.22684716e-03 -2.77308656e-03  1.24454421e-02  3.57480324e-03
 8.27254500e+00 -4.31361417e-01 -9.10355663e-02 -1.94188488e-01 -1.13911822e-01 -2.02954836e-02 -3.61102098e-02 -1.27791959e-02  1.78410849e-03 -1.89314475e-03 -1.09660785e-03  4.22333669e-03 -1.19042523e-02 -7.54386946e-03 -4.77872400e-03 -5.77319518e-04 -3.25684445e-03 -2.57727883e-03  1.21826823e-02  3.54873519e-03
